X,country_code,recent_cases,recent_sequences,population_size,recent_omicron_cases,percent_sequences_omicron_30d,percent_of_recent_cases_sequenced,per_capita_seq_rate,max_prevalence_variant_pct,max_prevalence_variant_pct_log10
95,IRL,119389,389,4982904,0,0,0.3258256623307,7.80669264348661,0.767153366133111,-0.11511780501181111
96,IRN,199480,0,85028760,0,NA,0,0,100,2
97,IRQ,26102,1,41179351,0,0,0.0038311240517968,0.00242840155494437,95,1.9777236052888478
98,ISL,3954,0,343360,0,NA,0,0,100,2
99,ISR,15468,801,9291000,1,0.00124843945068664,5.17843289371606,8.62124636745237,0.373300530079979,-0.4279413933829738
100,ITA,245255,2984,60367471,1,3.35120643431635e-4,1.21669282991172,4.94305948314449,0.100342795620401,-0.9985138033919793
101,JAM,2394,0,2973462,0,NA,0,0,100,2
102,JEY,0,0,101073,0,NA,NA,0,100,2
103,JOR,83509,71,10269022,0,0,0.0850207762037625,0.691399823663831,4.13156587069095,0.6161146812240256
104,JPN,4648,55,126050796,0,0,1.1833046471600701,0.0436332032365746,5.30110549512538,0.7243664470287158
105,KAZ,36246,0,18994958,0,NA,0,0,100,2
106,KEN,1800,3,54985702,0,0,0.166666666666667,0.00545596380673652,63.1596850135961,1.8004399554528145
107,KGZ,2143,0,6628347,0,NA,0,0,100,2
108,KHM,1766,215,16946446,0,0,12.1744054360136,1.26870259404243,1.38370146354947,0.14104240029521228
109,KIR,0,0,121388,0,NA,NA,0,100,2
110,KNA,114,0,53546,0,NA,0,0,100,2
111,KOR,81561,74,51305184,0,0,0.0907296379397016,0.14423493735058,3.96743838703134,0.5985101910336723
112,KWT,625,0,4328553,0,NA,0,0,100,2
113,LAO,32790,0,7379358,0,NA,0,0,100,2
114,LBN,27412,0,6769151,0,NA,0,0,100,2
115,LBR,9,0,5180208,0,NA,0,0,100,2
116,LBY,14916,0,6958538,0,NA,0,0,100,2
117,LCA,441,0,184401,0,NA,0,0,100,2
118,LIE,845,54,38254,0,0,6.3905325443787,141.161708579495,5.39657670973762,0.732118354727317
119,LKA,23104,91,21497306,0,0,0.393871191135734,0.423308855537526,3.23841647364345,0.5103327000610413
120,LSO,127,0,2159067,0,NA,0,0,100,2
121,LTU,64849,439,2689862,0,0,0.676957239124736,16.3205398641269,0.680076095318449,-0.1674424903409177
122,LUX,6425,799,634814,0,0,12.4357976653697,125.863638798136,0.374233198793195,-0.4268576882065383
123,LVA,37953,0,1866934,0,NA,0,0,100,2
124,MAC,0,0,658391,0,NA,NA,0,100,2
125,MAR,4012,0,37344787,0,NA,0,0,100,2
126,MCO,291,0,39520,0,NA,0,0,100,2
127,MDA,26573,0,4024025,0,NA,0,0,100,2
128,MDG,446,0,28427333,0,NA,0,0,100,2
129,MDV,3977,94,543620,0,0,2.36359064621574,17.2914903793091,3.13670120787877,0.49647315116515633
130,MEX,80505,431,130262220,0,0,0.53537047388361,0.330871069140385,0.692655499418127,-0.15948271329857266
131,MHL,0,0,59618,0,NA,NA,0,100,2
132,MKD,13301,38,2082661,0,0,0.285692805052252,1.82458883130764,7.58076516829646,0.879713043573671
133,MLI,1361,0,20855724,0,NA,0,0,100,2
134,MLT,1616,0,516100,0,NA,0,0,100,2
135,MMR,22956,0,54806014,0,NA,0,0,100,2
136,MNE,13551,0,628051,0,NA,0,0,100,2
137,MNG,22737,0,3329282,0,NA,0,0,100,2
138,MOZ,254,0,32163045,0,NA,0,0,100,2
139,MRT,1956,0,4775110,0,NA,0,0,100,2
140,MSR,0,0,4981,0,NA,NA,0,100,2
141,MTQ,0,0,NA,0,NA,NA,NA,100,2
142,MUS,3342,0,1273428,0,NA,0,0,100,2
143,MWI,108,0,19647681,0,NA,0,0,100,2
144,MYS,163007,92,32776195,0,0,0.0564392940180483,0.280691520171881,3.20378631754518,0.5056635423043006
145,MYT,0,0,NA,0,NA,NA,NA,100,2
146,NAM,294,0,2587344,0,NA,0,0,100,2
147,NCL,0,0,288217,0,NA,NA,0,100,2
148,NER,647,0,25130810,0,NA,0,0,100,2
149,NGA,2184,0,211400704,0,NA,0,0,100,2
150,NIC,730,0,6702379,0,NA,0,0,100,2
151,NIU,0,0,1614,0,NA,NA,0,100,2
152,NLD,484954,1406,17173094,0,0,0.289924405201318,8.18722590116842,0.212840901112787,-0.6719449110540126
153,NOR,55066,525,5465629,0,0,0.953401372897977,9.60548182103103,0.568990752082366,-0.24489479222045846
154,NPL,8981,0,29674920,0,NA,0,0,100,2
155,NRU,0,0,10873,0,NA,NA,0,100,2
156,NZL,5159,58,5122600,0,0,1.12424888544292,1.13223753562644,5.03393383304202,0.7019075028028108
